Label,x,y,z
0,131.975632,45.823311,2.742492
1,131.078308,46.180759,6.368483
2,130.212204,46.524643,9.926675
3,129.358002,46.862587,13.507378
4,128.516495,47.194244,17.122141
5,127.698166,47.515411,20.743111
6,126.890854,47.83078,24.447405
7,126.108902,48.134708,28.191229
8,125.379692,48.416565,31.8633
9,124.70137,48.677185,35.481426
10,124.072098,48.917435,39.063416
11,123.488014,49.138901,42.640331
12,122.947418,49.342358,46.231346
13,122.452202,49.527252,49.830154
14,122.002533,49.693695,53.434418
15,121.597145,49.842365,57.045952
16,121.234116,49.974178,60.666348
17,120.911026,50.090252,64.296867
18,120.625084,50.191811,67.938393
19,120.373329,50.280151,71.5914
20,120.152695,50.356579,75.256004
21,119.960159,50.422363,78.931992
22,119.792801,50.478722,82.618889
23,119.647865,50.526783,86.316002
24,119.522789,50.567589,90.022522
25,119.416832,50.601585,93.672081
26,119.327194,50.629845,97.272621
27,119.249878,50.653786,100.897209
28,119.183472,50.673969,104.544266
29,119.126709,50.690903,108.212036
30,119.078423,50.705044,111.898674
31,119.037582,50.716789,115.602188
32,119.00322,50.726509,119.320557
33,118.974518,50.734528,123.051628
34,118.950684,50.741135,126.793106
35,118.931313,50.746513,130.485001
36,118.915512,50.750957,134.172302
37,118.902351,50.75478,137.960129
38,118.891777,50.758041,141.756851
39,118.883469,50.760853,145.511108
40,118.876907,50.76339,149.264435
41,120.371208,50.765591,153.647171
42,117.370842,50.766724,153.635391
43,118.87252,50.765381,152.391037
44,117.740494,50.76968,159.233673
45,119.990601,50.769566,159.235352
46,119.993256,50.767624,156.333069
47,117.742989,50.768013,156.328094
48,129.025421,49.518017,2.730383
49,128.03981,49.628754,6.332982
50,127.087425,49.734138,9.86915
51,126.147041,49.836494,13.428739
52,125.219437,49.935658,17.023373
53,124.316147,50.030308,20.625517
54,123.42363,50.121738,24.312096
55,122.557724,50.208267,28.039692
56,121.748772,50.2869,31.697636
57,120.994835,50.357986,35.303677
58,120.293976,50.421909,38.875557
59,119.642021,50.479225,42.444256
60,119.037209,50.530273,46.028889
61,118.481766,50.575081,49.623146
62,117.976067,50.61385,53.224606
63,117.518867,50.646973,56.834991
64,117.108215,50.674889,60.45578
65,116.741562,50.69809,64.088089
66,116.41597,50.717079,67.732643
67,116.128288,50.732368,71.389801
68,115.875244,50.74445,75.059509
69,115.653549,50.753784,78.74144
70,115.46006,50.760796,82.434998
71,115.291779,50.765873,86.139366
72,115.145905,50.769363,89.853638
73,115.021774,50.771545,93.511215
74,114.91629,50.77272,97.119949
75,114.82486,50.773151,100.753021
76,114.745956,50.773006,104.408783
77,114.678192,50.772438,108.085457
78,114.620277,50.771599,111.781128
79,114.571045,50.770584,115.49379
80,114.529472,50.769501,119.221359
81,114.494583,50.768444,122.961655
82,114.465569,50.767479,126.712387
83,114.441933,50.766678,130.413376
84,114.422668,50.766087,134.10968
85,114.406723,50.765732,137.906708
86,114.394028,50.765667,141.712585
87,114.384239,50.765923,145.4758
